epoch,loss,lr,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,0.012697743251919746,0.001,0.23765447735786438,0.0024827669840306044,0.2653549015522003
1,0.005098286550492048,0.0010009599,0.2406170666217804,0.0025166666600853205,0.2660332918167114
2,0.007271890062838793,0.0010019207,0.25832393765449524,0.002560929162427783,0.26718008518218994
3,0.007443575654178858,0.0010028824,0.23977680504322052,0.002614825963973999,0.26828452944755554
4,0.006513426546007395,0.001003845,0.24699747562408447,0.002674449933692813,0.26945024728775024
5,0.0064465743489563465,0.0010048086,0.24154260754585266,0.0027358343359082937,0.2708617150783539
6,0.005707134027034044,0.0010057731,0.24473857879638672,0.002805673284456134,0.27245640754699707
7,0.005568228662014008,0.0010067385,0.22306255996227264,0.002882926957681775,0.274170845746994
8,0.00530106108635664,0.0010077048,0.2184089869260788,0.0029650486540049314,0.27616992592811584
9,0.005072904750704765,0.001008672,0.20590589940547943,0.003055476350709796,0.2781756520271301
10,0.007578598335385323,0.0010096403,0.23360857367515564,0.0031481042969971895,0.280453622341156
11,0.004886846523731947,0.0010106094,0.22775763273239136,0.0032303219195455313,0.2829408347606659
12,0.003883522469550371,0.0010115794,0.2186814397573471,0.003321622731164098,0.28507712483406067
13,0.005154078360646963,0.0010125504,0.2013462483882904,0.0034198088105767965,0.2872352600097656
14,0.0031638750806450844,0.0010135224,0.19787734746932983,0.003504675580188632,0.28969892859458923
15,0.004392931237816811,0.0010144952,0.19469791650772095,0.0035964639391750097,0.29201099276542664
16,0.0027466770261526108,0.001015469,0.1968582272529602,0.003688154509291053,0.2941024899482727
17,0.0026121139526367188,0.0010164437,0.19061167538166046,0.0037803619634360075,0.2961561679840088
18,0.0028358420822769403,0.0010174194,0.18850186467170715,0.0038688837084919214,0.29817286133766174
19,0.003137701191008091,0.001018396,0.20626875758171082,0.0039610122330486774,0.299908310174942
20,0.004210693296045065,0.0010193735,0.2185477912425995,0.004059887025505304,0.3014930486679077
21,0.0025976893957704306,0.001020352,0.20524974167346954,0.004153591580688953,0.30296915769577026
22,0.0025156664196401834,0.0010213314,0.2020372450351715,0.004247512202709913,0.30424627661705017
23,0.00562969921156764,0.0010223117,0.1972067952156067,0.004344473592936993,0.30577367544174194
24,0.002611408242955804,0.001023293,0.19889001548290253,0.004423658363521099,0.3072221577167511
25,0.0019883206114172935,0.0010242752,0.19309651851654053,0.004498331807553768,0.3085990250110626
26,0.0030292028095573187,0.0010252584,0.193230539560318,0.00457609910517931,0.3097669184207916
27,0.003392033511772752,0.0010262425,0.21046732366085052,0.004655166063457727,0.31079205870628357
28,0.004356339108198881,0.0010272276,0.2032695859670639,0.00474820751696825,0.3117053806781769
29,0.0023727407678961754,0.0010282135,0.1884203553199768,0.004825376905500889,0.3125677704811096
30,0.003024333156645298,0.0010292005,0.20900164544582367,0.0049042291939258575,0.3133561313152313
31,0.002418167656287551,0.0010301884,0.19730593264102936,0.0049676354974508286,0.3142426609992981
32,0.0031475189607590437,0.0010311772,0.21536780893802643,0.0050288899801671505,0.31504613161087036
33,0.003082964103668928,0.0010321671,0.20915502309799194,0.005078678019344807,0.31590598821640015
34,0.002870857482776046,0.0010331578,0.224530428647995,0.005110002122819424,0.3166077136993408
35,0.0026877466589212418,0.0010341496,0.2011234164237976,0.005136484280228615,0.3172744810581207
36,0.0024307093117386103,0.0010351422,0.21078242361545563,0.0051562171429395676,0.31777024269104004
37,0.003549795364961028,0.0010361357,0.2108462154865265,0.005170242860913277,0.31803712248802185
38,0.00245826318860054,0.0010371304,0.1933472603559494,0.005178537685424089,0.3181430995464325
39,0.002504625590518117,0.0010381258,0.2230995148420334,0.0051698386669158936,0.3181469440460205
40,0.0028512899298220873,0.0010391223,0.20956723392009735,0.005158544518053532,0.31790003180503845
